No,Project Name,URL,Author/Team,Likes,Bookmarks,Accessible,Status,Description,IsWinner,AwardName,AwardComment,IsFinalPitch,TechStacks,Tags,ContentSummary
15,debater,https://zenn.dev/yuu7751/articles/29a12e90c279b8,個人,11,1,True,200,【debater】未来の情報提供AI！ 多角的視野の議論エージェント(AI agent Hackathon),False,,,False,"[""Gemini API"", ""Vertex AI"", ""Google Cloud Run"", ""Cloud Load Balancing"", ""Identity-Aware Proxy"", ""Google Cloud Firestore"", ""Chainlit"", ""Google Cloud Platform"", ""YouTube"", ""GitHub""]","[""AIエージェント"", ""生成AI"", ""意思決定支援"", ""情報収集"", ""多角的視点"", ""議論支援""]",debaterは、異なる視点を持つ複数のAIエージェントが議論を行い、ユーザーに多角的な視野と洞察を提供する情報提供AIです。生成AIの偏りや断言的回答の課題を解決するため、根拠提示や議論プロセスの可視化を特徴としています。
16,flutter_app_creator,https://zenn.dev/sakusin/articles/cfcc947c48d2df,個人,2,0,True,200,【提出物】flutter_app_creater,False,,,False,"[""Flutter"", ""Dart"", ""dart_frog"", ""Google Cloud Run"", ""Gemini API"", ""Vertex AI"", ""Android Studio"", ""Google AI Studio"", ""Flutter Hot Reload"", ""Windows"", ""macOS"", ""Linux""]","[""Flutter"", ""アプリ開発自動化"", ""生成AI"", ""ノーコード・ローコード"", ""デスクトップアプリ""]",Flutter製デスクトップアプリ上で、AIがFlutterモバイルアプリのコード生成・修正を行う開発支援システム。自然言語指示によりUIとコードを自動反映し、エディタ不要で直感的なアプリ開発体験を目指す。
17,スマブラ最適行動検証アプリ,https://zenn.dev/takuawn/articles/c58f801ca7fd77,チーム: 奈落旋風,8,0,True,200,大乱闘スマッシュブラザーズ SPECIAL最適化行動システム,False,,,False,"[""Gemini AI"", ""Google Cloud Run"", ""Webブラウザアプリケーション"", ""RESTful Webアプリ構成"", ""リレーショナルデータベース設計"", ""YouTube"", ""Google Cloud Platform""]","[""ゲームAI"", ""スマブラ"", ""eスポーツ"", ""教育支援"", ""データ分析""]",本プロジェクトは、大乱闘スマッシュブラザーズSPECIALにおけるキャラクター同士の位置関係や技の射程を数値化・可視化し、Gemini AIを用いて最適な行動や技選択を提案するゲームプレイ支援アプリです。初心者から上級者まで効率的に上達できる学習支援を目的としています。
18,BGMoo,https://zenn.dev/rjg0gjirehbgot/articles/59d6077472c4df,個人,4,1,True,200,「映画のように、小説を楽しむ」新体験──BGMoo【AI Agent Hackathon with Google Cloud 成果物】,False,,,False,"[""wxt"", ""React"", ""TypeScript"", ""Docker"", ""hono"", ""npm"", ""Google Cloud Run"", ""Firebase"", ""Gemini"", ""Bun"", ""ブラウザ拡張（Chrome Extension）""]","[""AIエージェント"", ""読書体験"", ""Webアプリ"", ""ブラウザ拡張"", ""BGM生成"", ""エンタメ""]",BGMooは、読んでいる小説やWeb小説の文章を解析し、シーンや登場人物の感情に合ったBGMを自動再生することで、映画のような没入型読書体験を提供するアプリです。ブラウザ拡張として動作し、AIを活用して読書の楽しみ方を拡張します。
19,Presio,https://zenn.dev/tatsuya032/articles/301dd19235efc2,チーム: Pied Piper,13,2,True,200,【AI Agent Hackathon】プレゼンテーション資料をAIで作成するサービス『Presio』,False,,,False,"[""Firebase"", ""Firebase Authentication"", ""Firebase Cloud Storage"", ""Firebase Firestore"", ""Docker"", ""CI/CD Pipeline"", ""Marp"", ""Markdown"", ""Cloud-based Collaboration Platform""]","[""プレゼンテーション"", ""AIエージェント"", ""業務効率化"", ""資料作成自動化"", ""ハッカソン""]",Presioは、テーマや関連ファイルをアップロードするだけでAIがプレゼン資料を自動生成するサービスです。編集・共同作業・クラウド保存に対応し、短時間で質の高いスライド作成を実現します。
20,Interview Agents,https://zenn.dev/yotaroyotaro/articles/4562bb480b415a,個人,8,0,True,200,Interview Agents – AIエージェントで、模擬面接を手間なく体験できるアプリを作りました！,False,,,False,"[""Google Cloud"", ""Vertex AI"", ""Gemini"", ""Speech-to-Text"", ""Text-to-Speech"", ""Python"", ""FastAPI"", ""Next.js"", ""React"", ""Web Audio API"", ""Firebase"", ""Cloud Run""]","[""AIエージェント"", ""模擬面接"", ""転職支援"", ""キャリア"", ""生成AI""]",Interview Agentsは、転職希望者がAIエージェントと音声で模擬面接を行い、評価やフィードバックを得られるアプリです。手間なく自己理解や適性把握を深め、転職活動の第一歩を後押しすることを目的としています。
21,ヘモグロビンガーディアン,https://zenn.dev/toki_mwc/articles/6aa02097a4c474,個人,7,1,True,200,ヘモグロビンガーディアン：AIで貧血リスクを見える化するMVP,False,,,False,"[""Flutter"", ""Firebase Authentication"", ""Cloud Firestore"", ""Google Cloud Vision AI"", ""Vertex AI Gemini API"", ""ML Kit"", ""Python FastAPI"", ""Google Cloud Run"", ""Docker"", ""HSV色空間解析""]","[""ヘルスケア"", ""医療AI"", ""画像解析"", ""モバイルアプリ"", ""Google Cloud""]",ヘモグロビンガーディアンは、スマホで撮影した爪の画像をAIで解析し、貧血リスクを可視化するMVPアプリです。病院に行かず日常的にセルフチェックでき、解析結果に応じた栄養アドバイスも提供することを目的としています。
22,AIインテリアコーディネーター,https://zenn.dev/jupitercyclone/articles/16b1d5c7f8fb67,個人,12,1,True,200,Google Cloud AI Agent Hackathon: AIインテリアコーディネーター,False,,,False,"[""Flutter"", ""Firebase Authentication"", ""Vertex AI Gemini Pro"", ""Vertex AI Agent Builder"", ""Vertex AI Imagen 3"", ""Google Translate"", ""Genkit"", ""Cloud Run"", ""Firestore"", ""Streamlit"", ""BigQuery Vector Search"", ""Cloud Storage""]","[""生成AI"", ""インテリア"", ""AIエージェント"", ""画像生成"", ""プロダクト開発""]",曖昧で言語化しづらいインテリアの理想像を、AIチャットと画像生成によって可視化し、さらに画像検索で実在の商品へと結び付けるAIインテリアコーディネーターを開発したプロジェクト。
23,eCoino,https://zenn.dev/nayus/articles/45d29a213c4213,チーム: セイゾウギョウのチカラ,55,15,True,200,想定外のズレをすぐに取り戻す！対話型AIシステム eCoino,True,🥇 最優秀賞,,True,"[""OpenAI GPT-4"", ""LangChain"", ""Python"", ""FastAPI"", ""React"", ""Next.js"", ""TypeScript"", ""Docker"", ""AWS"", ""PostgreSQL"", ""Supabase""]","[""サプライチェーン"", ""対話型AI"", ""AIエージェント"", ""製造業DX"", ""業務改善""]",eCoinoは、サプライチェーンにおける計画と現実のズレを対話型AIで迅速に修正するシステムです。不確実な需要変動や突発的事象に対し、計画系と実行系をつなぐことで、供給途絶を防ぎ製造業の柔軟性と強靭性を高めます。
24,ココいく,https://zenn.dev/kikagaku/articles/ae47497f5beed9,個人,44,13,True,200,おでかけプランニング AI エージェントを作った話【ハッカソン】,True,🏅 Tech Deep Dive賞,,True,"[""Vertex AI Studio"", ""Gemini 1.5 Flash"", ""Gemini 2.0 Flash"", ""textEmbedding004"", ""Cloud Firestore"", ""Cloud Firestore ベクトル検索"", ""Firebase Genkit"", ""Cloud Workflows"", ""Google Cloud"", ""YouTube""]","[""AIエージェント"", ""おでかけ支援"", ""子育て"", ""レコメンドシステム"", ""マルチエージェント""]",「ココいく」は、子育て世代のパパママ向けに週末のお出かけ先探しを支援するおでかけプランニングAIエージェントです。Webグラウディングで地域イベント情報を自動収集し、ユーザーの好みに基づくおすすめイベントと1日の最適なお出かけプランを生成します。
25,Goroにゃーん,https://zenn.dev/mirainotori/articles/c37d88b37b39b0,個人,12,3,True,200,暗記特化型AIエージェント「Goroにゃーん」で暗記を効率化したい（AI agent Hackathon）,False,,,False,"[""Flutter"", ""Dart"", ""Android"", ""iOS"", ""Gemini 2.0 Flash"", ""Imagen 3"", ""Cloud Firestore"", ""Google Cloud""]","[""AIエージェント"", ""暗記支援"", ""教育"", ""ゲーミフィケーション"", ""モバイルアプリ""]",Goroにゃーんは、暗記作業に特化したAIエージェント型アプリです。音声入力した学習内容から、語呂合わせ・解説・猫イラスト付きの記憶カードを自動生成し、クイズやRPG風のゲーミフィケーションで楽しく記憶定着を支援します。
26,WebTech 道場,https://zenn.dev/empelt/articles/69c480c0200f7b,チーム: トリメチルベンゼン,11,2,True,200,Google Cloud x Gemini API を用いた Web 技術学習支援アプリの開発,False,,,False,"[""Google Cloud"", ""Gemini API"", ""Firebase Hosting"", ""Cloud Run"", ""API Gateway"", ""Firebase Authentication"", ""Firestore"", ""GitHub""]","[""Web技術"", ""学習支援"", ""教育"", ""AIエージェント"", ""エンジニア育成""]",WebTech 道場は、Google Cloud と Gemini API を活用した Web 技術学習支援アプリです。問題解答を通じて AI が理解度を分析し、深掘り質問や前提知識のレコメンドを行うことで、効率的かつ継続的な学習を支援します。
27,アドバイス,https://zenn.dev/500ban/articles/5e31485eb775ee,チーム: さがんエンジニア,7,1,True,200,【AI Agent Hackathon 提出物】お手軽に食事のアドバイスがほしい,False,,,False,"[""Next.js 15"", ""Next.js App Router"", ""Google Cloud Run"", ""Google Cloud"", ""Vertex AI"", ""Gemini API"", ""Firebase Authentication"", ""Firebase Firestore"", ""Google OAuth"", ""Vision AI""]","[""ヘルスケア"", ""食事管理"", ""AIアプリ"", ""画像解析"", ""ライフログ""]",食事の写真をアップロードするだけで、おおよそのカロリー推定と栄養バランスのアドバイスを受けられるAIアプリです。正確さよりも手軽さを重視し、忙しい人や食事管理初心者でも続けやすい体験を目指しています。
28,memory AI,https://zenn.dev/hmdai/articles/8679d26c8b2444,個人,,,False,HTTP 403,内省促進×ラーニングの蓄積を補助するコーチングAI,False,,,False,,,
29,労働相談AIエージェント「まもる君」,https://zenn.dev/x_ray/articles/28368ec860982d,個人,9,2,True,200,労働相談AIエージェント「まもる君」作ってみた (AI Agent Hackathon),False,,,False,"[""FastAPI"", ""Uvicorn"", ""Anyio"", ""python-dotenv"", ""Pydantic"", ""pydantic-ai"", ""python-multipart"", ""Gemini-1.5-flash"", ""Google Cloud""]","[""AIエージェント"", ""労働相談"", ""チャットボット"", ""社会課題"", ""ハッカソン""]",労働相談AIエージェント「まもる君」は、未払い賃金やハラスメントなど労働者の悩みに対し、Geminiを活用して即時に助言し、最寄りの労働基準監督署を案内する支援プラットフォームです。
30,elecnecta（エレクネクタ）,https://zenn.dev/ghillie/articles/0abaad648dcd91,個人,12,0,True,200,一人ひとりの関心に刺さる政策を調べて比較してくれるAIエージェント「elecnecta」の開発【AI Agent Hackathon】,False,,,False,"[""Google Cloud Compute Engine"", ""Google Cloud Load Balancer"", ""Google Cloud DNS"", ""PostgreSQL"", ""Dify"", ""Gemini API"", ""Custom Search API"", ""Docker"", ""Docker Compose"", ""Debian 12""]","[""AIエージェント"", ""政党比較"", ""RAG"", ""Google Cloud"", ""投票支援""]",elecnectaは、ユーザーの属性や関心に基づいて関連する政治議題を提示し、各政党の政策や立場をリアルタイムで調査・比較して分かりやすく提供するAIエージェントです。政治への関心や投票判断を支援することを目的としたブラウザアプリです。
31,AIグループチャット,https://zenn.dev/xxkuboxx/articles/98478887b98406,個人,18,5,True,200,【AI Agent Hackathon】AIとワイワイ雑談！複数AIがあなたの悩みを解決する、新感覚グループチャットアプリ,False,,,False,"[""Streamlit"", ""LangGraph"", ""Docker"", ""Google Cloud Run"", ""Google Cloud Build"", ""YouTube""]","[""AIエージェント"", ""グループチャット"", ""生成AI活用"", ""UXデザイン"", ""雑談支援""]",複数の個性を持つAIエージェントとグループチャット形式で会話しながら、悩み相談や情報収集ができる新感覚アプリ。生成AIに不慣れな人でも直感的かつ楽しく使える体験を目指している。
32,ArticlePlay,https://zenn.dev/tsuvic/articles/f6033ca5d2380c,個人,7,3,True,200,Google Cloud x 生成AIで実現する新しい英語学習体験アプリ,False,,,False,"[""Google Cloud Platform"", ""Cloud Run"", ""Google Cloud Text-to-Speech"", ""Google Cloud Translation"", ""Google Generative AI (Gemini)"", ""Web Speech API"", ""Progressive Web App (PWA)"", ""HTML5 Audio"", ""JavaScript"", ""YouTube Embedded Player""]","[""英語学習"", ""生成AI"", ""教育"", ""Google Cloud"", ""PWA"", ""個人開発""]",ArticlePlayは、ユーザーが選んだWeb記事をもとに短い英語フレーズへ分割し、対訳と高品質な音声を生成する英語学習アプリです。興味のある内容を教材化することで、リーディングとリスニングを短時間かつ継続的に学習できます。
33,voice-routine,https://zenn.dev/dev_commune/articles/473b01983d1cbd,個人,28,3,True,200,Todo管理を管理してほしい ～電話でTodo管理を自動化するサービス～,False,,,False,"[""Google Cloud"", ""Vertex AI Gemini"", ""Google Cloud Text-to-Speech"", ""Cloud Run"", ""Firebase Authentication"", ""Cloud Scheduler"", ""Cloud SQL"", ""Next.js"", ""NestJS"", ""Twilio""]","[""タスク管理"", ""音声UI"", ""AIエージェント"", ""業務効率化"", ""Google Cloud""]",電話による音声対話だけでTodoの作成と進捗確認を自動化するサービス。朝夕の自動通話でタスクを登録・更新し、AIが解析・管理を行うことで、確認忘れや入力負担を減らすハンズフリーなタスク管理を実現する。
34,「AIがすぐ寄り添う！」ファイル共有アプリ,https://zenn.dev/icch_it/articles/cc100070805da5,個人,1,1,True,200,「AIがすぐ寄り添う！」ファイル共有アプリ,False,,,False,"[""Firebase"", ""Google Cloud Storage"", ""Vertex AI"", ""Google Cloud"", ""RAG（Retrieval-Augmented Generation）"", ""生成AI（Vertex AI 上）""]","[""ファイル共有"", ""DX推進"", ""RAG"", ""チャットボット"", ""業務効率化""]",企業のDX推進を支援するため、ファイル共有サービスに生成AIとRAGを組み合わせたソリューションを提案。自然言語での質問により、社内ドキュメントから必要な情報を即座に抽出し、現場負担を抑えつつ業務効率と意思決定速度を向上させる。
35,AgenTravel,https://zenn.dev/taisei_13046/articles/9ea814a6a25140,チーム: AIAT,101,21,True,200,AIエージェントと創る、新しい1人旅のカタチ,False,,,False,"[""Google Cloud"", ""Vertex AI"", ""Gemini"", ""Next.js"", ""React"", ""TypeScript"", ""Firebase"", ""Cloud Functions"", ""Long-term Memory（ベクトルストア）"", ""Web API連携""]","[""AIエージェント"", ""旅行"", ""生成AI"", ""パーソナライズ"", ""Webアプリ""]",AgenTravelは、AIエージェントがユーザへの対話型ヒヤリングと記憶を通じて、1人旅の目的設定から宿探し、当日の行動計画までを自律的に最適化する旅行支援アプリです。個別最適化された体験を提供します。
36,ワラドール・トーク,https://zenn.dev/hitotori/articles/b7787ad417ad8c,チーム: 丑の刻参ラーズ,42,2,True,200,ストレスをぶつけられる藁人形、ワラドール・トークをハッカソンで制作しました【AI Agent Hackathon】,False,,,False,"[""Google Cloud Run"", ""FastAPI"", ""Flutter"", ""Google Gemini 1.5 Flash"", ""Google Cloud Text-to-Speech"", ""Google Vision AI"", ""NFC"", ""Python"", ""Vertex AI""]","[""チャットボット"", ""メンタルヘルス"", ""ストレスケア"", ""音声対話"", ""AIエージェント"", ""ハッカソン""]",ワラドール・トークは、日常の怒りや不満を藁人形にぶつける感覚で発散できるAI対話サービスです。NFCで起動し、音声やテキストで感情を受け止めつつ、最終的に前向きな次の行動を提案します。
37,Partner AI ～内省のススメ~,https://zenn.dev/uragasumi25/articles/aa8f6f863ebae4,個人,8,0,True,200,(AI agent Hackathon)Partner AI ～内省のススメ～,False,,,False,"[""Google Cloud Run"", ""Streamlit"", ""LangChain"", ""Google Cloud Storage"", ""Google Cloud Agent Builder"", ""RAG（Retrieval Augmented Generation）"", ""ベクトル検索"", ""Text-to-Speech API"", ""Speech-to-Text API"", ""YouTube""]","[""AIエージェント"", ""内省"", ""日記アプリ"", ""RAG"", ""音声UI""]",Partner AIは、音声対話を通じて日々の出来事を内省し、AIカウンセラーの支援を受けながら日記として記録・活用できるプロダクトです。対話内容を自動要約・保存し、RAG技術によって過去の日記を自然な質問で検索でき、忙しい人でも継続的な振り返りを支援します。
38,ミ=ホ (ミーホと読みます),https://zenn.dev/hironow/articles/4f8eb43aa8deee,個人,8,1,True,200,"AI Agent Hackathon project ""ミ=ホ (advena)""",False,,,False,"[""Google Cloud Run"", ""Eventarc"", ""Cloud Pub/Sub"", ""Cloud Scheduler"", ""Cloud Tasks"", ""Cloud Text-to-Speech API"", ""Gemini API in Vertex AI"", ""Firebase Authentication"", ""Firebase Firestore (Native Mode)"", ""Cloud Storage for Firebase"", ""国立国会図書館 RSS Feed"", ""国立国会図書館 API""]","[""AIエージェント"", ""生成AI"", ""音声合成"", ""読書支援"", ""メディアサービス""]",ミ=ホ（ミーホ）は、国立国会図書館の書籍データを基に、毎日出版される新刊書籍を要約し、AI合成音声によるラジオ番組として配信するサービスです。短時間で多くの新刊情報に触れられ、紙の書籍との新たな出会いを促進します。
39,放課後DeFAIクラブ,https://zenn.dev/nft/articles/cae4b586f2216c,チーム: 放課後DeFAIクラブ,22,7,True,200,DeFi x AIの平滑化 - ライブチャット型DeFAIプロジェクトを開発しました 【Google AIエージェントハッカソン】,False,,,False,"[""Google Cloud Vertex AI"", ""Gemini Pro"", ""Next.js"", ""Vercel"", ""TypeScript"", ""WebSocket"", ""Ethereum"", ""Ethers.js"", ""MetaMask"", ""Solidity"", ""Alchemy"", ""Firebase""]","[""DeFi"", ""AIエージェント"", ""Web3"", ""チャットUI"", ""暗号資産投資""]",本プロジェクトは、DeFiとAIを融合させたライブチャット型のマルチAIエージェント投資支援アプリです。複数のAIが市場を分析・議論し、ユーザーに代わってウォレット操作や取引を実行することで、初心者でも直感的かつ安全にDeFi投資を体験できることを目指します。
